PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='right_precond')

###### right preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 4 dot 2.7074619399203997e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot -2.617114476133331e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 2.1276725667688026e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot -2.0441414546932754e-05
# TT-PIVMGS:    ortho max err 1.8126165659871924e-05 , max. rank: 155
# TT-PIVMGS:    ortho 1 pivot 7 dot 1.8126165659871924e-05
# TT-PIVMGS:    ortho 1 pivot 9 dot -1.3958750422120823e-05
# TT-PIVMGS:    ortho 1 pivot 11 dot 1.3320748750645511e-05
# TT-PIVMGS:    ortho 1 pivot 1 dot -1.261309085164421e-05
# TT-PIVMGS:    ortho 1 pivot 13 dot 1.1366958333619559e-05
# TT-PIVMGS:    ortho 1 pivot 0 dot 9.141535367625448e-06
# TT-PIVMGS:    ortho max err 5.77459471340705e-06 , max. rank: 155
23 9.373880022187148e-06 9.373895188961624e-06 147 140 155 94
# TT-PIVMGS:    ortho 0 pivot 23 dot 0.8218961277565007
# TT-PIVMGS:    ortho 0 pivot 22 dot 0.70839310155894
# TT-PIVMGS:    ortho 0 pivot 20 dot -0.000654050405413806
# TT-PIVMGS:    ortho 0 pivot 21 dot 0.0005699527535065405
# TT-PIVMGS:    ortho 0 pivot 19 dot 0.00041721949971930405
# TT-PIVMGS:    ortho 0 pivot 18 dot -0.00024547961460947426
# TT-PIVMGS:    ortho 0 pivot 17 dot 0.00021670547196357345
# TT-PIVMGS:    ortho 0 pivot 16 dot -0.00014239326783239623
# TT-PIVMGS:    ortho 0 pivot 11 dot 2.8547708714986297e-05
